藥品代碼,商品名稱,藥品學名,藥品中文名,ATC_CODE1,藥品分類代碼說明,DC藥預設替代藥,盤點分類,衛署適應症,商品名
TRA02I,Trandate 25mg/5ml Amp,LABETALOL,湍泰低注射液,C07AG01,注射藥,Chenday 25mg/5mL Amp,針劑,高血壓,TRANDATE
TRA03O,Transamin 250mg Cap,TRANEXAMIC ACID,斷血炎(橘色/淡黃長圓柱形)膠囊,B02AA02,口服藥,,口服,全身及局部出血或出血性疾病。,TRANSAMIN
TRA07I,Tramtor 100mg/2ml Amp #4,TRAMADOL HCL,頓痛特,N02AX02,管四非麻醉藥,,管4,中度至嚴重性的急慢性疼痛。,TRAMTOR
TRA08I,Tractocile 37.5mg/5ml Vial,Atosiban,孕保寧濃縮輸注液,G02CX01,注射藥,,冰箱(針劑),延遲妊娠婦女迫切的早產。,TRACTOCILE
TRA13O,TRACLEER-CHD 125mg Tab#,BOSENTAN,"""愛可泰隆""全可利(橘白色雙凸卵形)膜衣錠",C02KX01,口服藥,,口服,治療因先天性心臟病續發WHO Class III 肺動脈高血壓患者。說明：伴隨先天性Systemic-to-pulmonary shunts與Eisenmenger physiology。,TRACLEER-CHD
TRA14O,TRAJENTA DUO 2.5/850MG TAB#,"LINAGLIPTIN,METFORMIN",糖倍平(淡橘色橢圓形)膜衣錠,A10BD11,口服藥,,口服,與飲食控制及運動配合治療，藉以改善下列第2型糖尿病成人患者的血糖控制效果:(1) 已在合併使用 linagliptin 與 metformin 治療且受到良好控制效果的患者、 (2) 單獨使用 metformin 未能達到適當控制效果的患者、以及 ...後略，請點選【藥品仿單】分頁查閱,TRAJENTA
TRE01E,Tretinoin Cream 0.1% 5gm/Tube,TRETINOIN,特蒂樂乳膏0.1%,D10AD01,注射藥預設一份,,外用,尋常性痤瘡（面皰）丘疹,TRETINOIN
TRE02E,Trelegy Ellipta 92/55/22mcg Inh; 30d,"FLUTICASONE FUROATE,UMECLIDINIUM,VILANTE",肺樂喜易利達92/55/22 mcg乾粉吸入劑,R03AL08,外用分裝藥,,外用,1. 慢性阻塞性肺病維持治療：適用於已接受吸入性皮質類固醇與長效β2作用劑合併治療，或已定期使用兩種吸入型長效支氣管擴張劑合併治療，而仍控制不佳的慢性阻塞性肺病(COPD)病人，以治療氣道阻塞。也適用於降低有惡化 ...後略，請點選【藥品仿單】分頁查閱,TRELEGY
TRE03E,TRELEGY ELLIPTA 184/55/22 MCG INH; 30D,"FLUTICASONE FUROATE,UMECLIDINIUM,VILANTE",肺樂喜易利達184/55/22 mcg乾粉吸入劑,R03AL08,外用分裝藥,,外用,適用於併用吸入性長效型β2-腎上腺受體作用劑和吸入性皮質類固醇治療氣喘仍控制不佳的成年病人，做為氣喘維持治療。,TRELEGY
TRE03I,Tresiba Flextouch 300U/3ml,INSULIN DEGLUDEC,諾胰保諾特筆,A10AE06,注射藥,,冰箱(針劑),適用於治療一歲以上糖尿病患者，以改善血糖控制,TRESIBA
TRI07O,Tritace 2.5mg Tab,RAMIPRIL,心達舒(淡黃長圓柱形)錠劑,C09AA05,口服藥,,口服,高血壓、心肌梗塞後的心衰竭、降低因心血管疾病導致之心肌梗塞、中風及死亡的危險。,TRITACE
TRI08O,Trileptal 300mg Tab,OXCARBAZEPINE,除癲達(黃色橢圓形)膜衣錠,N03AF02,口服藥,,口服,成人局部癲癇發作之單一或輔助治療，大於一個月孩童癲癇局部發作之輔助治療。,TRILEPTAL
TRI09O,TRITACE 10mg Tab,RAMIPRIL,心達舒錠(白色長圓柱形)10毫克,C09AA05,口服藥,,口服,高血壓、心肌梗塞後的心衰竭、降低因心血管疾病導致之心肌梗塞、中風及死亡的危險。,TRITACE
TRI12E,Trimbow 100/6/12.5mcg Inh.;120d,"BECLOMETASONE DIPROPIONATE,FORMOTEROL FU",喘寶定量吸入劑,R03AL09,外用分裝藥,,冰箱(外用),1.慢性阻塞性肺病(COPD)：用於重度以上呼氣氣流受阻（FEV1少於預測值之50%）及有惡化病史之慢性阻塞性肺病(COPD)成年病人，在已使用吸入型皮質類固醇與長效beta 2致效劑合併療法或長效beta 2致效劑與長效毒蕈結抗劑合 ...後略，請點選【藥品仿單】分頁查閱,TRIMBOW
TRO01E,TROPINE EYE DROPS 0.3% 5ML BOT,ATROPINE SULFATE,雅托平眼藥水0.3%,S01FA01,鎖檔,,外用,散瞳、睫狀肌麻痺。,TROPINE
TRO01O,Trolovol 300mg Tab,D-PENICILLAMINE,,M01CC01,口服藥,,口服,,TROLOVOL
TRO02E,Tropine Eye Drop 0.125% 5ml Bot,ATROPINE SULFATE,雅托平眼藥水 0.125%,S01FA01,外用預設一份,,外用,散瞳、睫狀肌麻痺。,TROPINE
TRO02O,Trokendi XR 50mg Cap,TOPIRAMATE,妥偏停(淺綠色/橘色長圓柱形)持續性釋放膠囊,N03AX11,口服藥,,口服,1.用於成人及六歲以上兒童局部癲癇、併有LENNOX-GASTAUT 症候群之癲癇或原發性全身性強直陣攣癲癇的輔助治療2.用於成人及六歲以上兒童局部癲癇 (PARTIAL ONSET SEIZURE) 之單一藥物治療3.用於12歲以上患者之預防性偏頭痛,TROKENDI
TRU01I,Trulicity 1.5mg/0.5ml Pen#,DULAGLUTIDE,易週糖注射劑,A10BJ05,鎖檔,,冰箱(針劑),1.治療10歲以上第二型糖尿病病人。2.用於具第二型糖尿病且已有心血管疾病或多項心血管風險因子的成年病人，可降低重大不良心血管事件的風險。,TRULICITY
TS101O,TS-1 20 mg Cap,"GIMERACIL,TEGAFUR",愛斯萬(白色圓柱形)膠囊,L01BC53,口服化學治療藥物,,口服,適應症變更：胃癌： 胃癌術後輔助性化療，用於罹患TNM Stage II (排除TI)、IIIA或IIIB胃癌且接受過胃癌根除性手術之成年病人。 適用於治療無法切除之晚期胃癌。 胰臟癌：適用於治療局部晚期或轉移性胰臟癌病人。 大腸 ...後略，請點選【藥品仿單】分頁查閱,TS-1
TYG01I,Tygacil 50mg Vial#,TIGECYCLINE,老虎黴素凍晶注射劑,J01AA12,注射藥,,針劑,對Tigecycline具有感受性之細菌所引起之複雜性皮膚及皮膚結構感染、複雜性腹腔內感染症及社區感染性肺炎。,TYGACIL
TYK01O,Tykerb 250mg Tab#,LAPATINIB DITOSYLATE MONOHYDRATE,泰嘉(橢圓雙凸形)錠,L01EH01,口服化學治療藥物,,口服,在和capecitabine併用的情況下，TYKERB適用於治療腫瘤有HER2 (ErbB2)過度表現之現象且曾接受anthracycline、taxane以及trastuzumab治療後病況惡化之後期或轉移性乳癌患者。在和芳香?抑制劑(aromatase inhibitor)併用 ...後略，請點選【藥品仿單】分頁查閱,TYKERB
TYS01I,Tysabri For Infusion 300mg/15ml Vial#,Natalizumab,泰吉利濃縮靜脈輸注液,L04AG03,注射藥預設一份,,冰箱(針劑),單一藥物治療反覆發作型多發性硬化症，其病人群為下列成人病人：1) 已使用至少一種改善病程進展的治療 (Disease-modifying therapy， DMT)，但是仍持續惡化的病人，或 2) 病情急速惡化的反覆發作型多發性硬化症病人。,TYSABRI
UFU01O,Ufur Cap#,"TEGAFUR,URACIL",友復(白色/白色長圓柱形)膠囊,L01BC53,口服化學治療藥物,,口服,胃癌、大腸(結腸直腸)癌、乳癌、與Cisplatin併用治療轉移及末期肺癌、頭頸部癌、用於病理分期T2之第一期B肺腺癌病人手術後輔助治療。,UFUR
ULC01I,Ulcertin 20mg/2ml Amp#,FAMOTIDINE,胃潰定注射液,A02BA03,注射藥,,冰箱(針劑),住院病人伴隨有病理性胃酸分泌過高之症狀、頑固性（難治的）十二指腸潰瘍、或不能口服之病人消化性潰瘍之期替代療法。,ULCERTIN
ULE01S,Ulexin Susp 25mg/ml;60ml Bot,CEPHALEXIN,優力黴素口服懸液用顆粒,J01DB01,口服分裝藥,,外用,葡萄球菌、鏈球菌、肺炎雙球菌、腦膜炎球菌及其他具有感受性細菌引起之感染症,ULEXIN
ULT01I,Ultomiris 300mg/3mL Vial,Ravulizumab,妥立瑞輸注液100毫克/毫升,L04AJ02,注射藥,,冰箱(針劑),1、治療陣發性夜間血紅素尿症病人。 2、治療非典型性尿毒溶血症候群病人。使用限制：不可用於治療與產志賀毒素大腸桿菌相關之溶血性尿毒症候群(STEC-HUS)。 3、治療抗水通道蛋白 4 抗體陽性[antiaquaporin-4(AQP4) antibody positive] 的泛視神經脊髓炎(Neuromyelitis Optica,ULTOMIRIS
ULT02E,Ultibro Breezhaler 50/110mcg/cap; 30Cap#,"GLYCOPYRROLATE,INDACATEROL MALEATE",昂帝博吸入膠囊,R03AL04,外用分裝藥,,外用,慢性阻塞性肺疾 (COPD; 包括慢性支氣管炎及肺氣腫 ) 之維持治療。降低有惡化病史病人之COPD 惡化。,ULTIBRO
